name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'training-07';0.000000;-3.040314e+00;-1.029952e+01;-1.015423e+01;9.672451e+00;-8.301861e-01;-7.921527e+00;-1.196506e+01;-1.039963e+01;-1.042530e+01;-1.924690e+00;-2.488091e+00;8.537754e+00;6.037227e+01;-3.819796e-01;6.362705e-01;1.421661e+00;-9.402075e-01;1.112346e+00;2.718788e+00;3.047785e+00;5.374531e-01;-2.776861e-02;1.169733e+00;-2.239073e+00;-4.300965e+00;2.658691e-02;5.880903e-02;-3.112902e-01;-1.045986e-01;-1.683625e-01;-1.242641e+00;-9.120968e-01;-1.032639e+00;-2.280253e-01;-1.716007e-01;-6.071334e-01;-5.700459e-02;2.526327e-01;1.728466e-01
'training-07';0.010000;-4.898834e+00;-8.537481e+00;-8.803444e+00;6.136885e+00;-9.521219e-03;2.937395e-01;-6.413907e+00;-1.384849e+01;-1.329419e+01;1.605867e+00;-4.640581e+00;-9.131223e+00;5.986831e+01;-4.809394e-01;-1.312347e-01;1.232289e+00;-1.180187e+00;-1.698385e+00;9.142520e-01;1.184873e+00;4.922762e-02;4.490099e-02;1.631458e-01;-3.486938e+00;-3.899724e+00;4.490398e-01;1.720067e-01;-4.608850e-01;-2.779186e-01;-4.970018e-02;-1.170462e+00;-1.082105e+00;-1.502010e+00;-2.258396e-01;1.277662e-01;-4.376327e-01;6.556827e-01;1.283253e+00;1.368418e-01
'training-07';0.020000;-4.020953e+00;-7.999186e+00;-3.721314e+00;6.739197e+00;4.321214e+00;1.564781e+00;4.982887e-01;-5.987937e+00;-9.129691e+00;2.158696e+00;-1.260721e+01;-4.132584e+00;6.075718e+01;-3.845463e-02;-5.364281e-01;9.933540e-01;-1.662030e+00;-3.695493e+00;-9.394279e-01;-1.183954e+00;-3.585607e-01;-9.221069e-01;-1.362640e+00;-1.900164e+00;-3.238422e+00;6.795937e-01;1.264408e-01;-3.101771e-01;-3.440874e-01;2.211839e-01;-3.121613e-01;-7.145494e-01;-1.268548e+00;-5.141851e-01;-1.281745e-01;-3.984341e-01;1.651523e+00;1.529814e+00;-5.486286e-02
'training-07';0.030000;-4.954692e+00;-1.210586e+01;-7.209240e+00;5.238142e+00;-1.189781e+01;-8.093421e+00;-1.227236e+01;-1.235934e+01;-1.084859e+01;-3.150655e+00;-1.486322e+01;-4.625697e+00;6.242501e+01;3.062916e-01;-1.081805e+00;2.462213e-01;-8.277971e-01;-2.336043e+00;-8.626304e-01;-2.346397e+00;-1.437379e-01;1.058231e+00;2.477560e-01;8.698860e-01;1.584028e+00;3.842926e-01;5.709652e-02;3.391912e-01;3.148260e-01;8.573332e-01;1.373809e+00;5.086271e-01;2.309083e-01;-4.040832e-01;-3.872219e-01;-4.711104e-01;1.786616e+00;1.221316e+00;-2.542813e-01
'training-07';0.040000;-3.204658e+00;-1.119747e+01;-5.984559e+00;1.811672e+00;-1.336350e+01;-8.425086e+00;-1.495560e+01;-1.293701e+01;-1.625863e+01;-6.359632e+00;-6.877592e+00;-9.907122e+00;6.249189e+01;-1.433909e-01;-4.393299e-01;1.942579e-01;-1.048274e-02;-1.296312e-01;3.448277e-02;-1.529319e+00;-1.936990e+00;-1.175306e+00;-8.647426e-01;3.840129e+00;6.062264e-01;-2.153538e-01;-6.151556e-02;6.179219e-01;6.977552e-01;1.562069e+00;1.811917e+00;1.392730e+00;1.364477e+00;-6.727514e-02;1.800717e-01;-1.616869e-01;1.549819e-01;7.954746e-01;-2.341928e-01
'training-07';0.050000;-3.775523e+00;-1.234736e+01;-6.440715e+00;4.461662e+00;-2.847378e+00;9.755212e-01;-1.041895e+01;-1.109264e+01;-4.438568e+00;7.103811e+00;-3.155960e+00;1.676187e+00;6.092242e+01;-1.429886e-01;1.516172e+00;3.205966e+00;2.280705e+00;3.387727e+00;2.970432e+00;2.512098e+00;-1.181974e+00;-1.764609e+00;-2.441355e+00;2.575994e+00;2.845325e-01;-3.748928e-01;1.377214e-01;5.967861e-01;6.987065e-01;1.287203e+00;6.926314e-01;8.579294e-01;1.137377e+00;5.099814e-01;5.047271e-02;-6.497089e-01;-1.268683e+00;-2.001967e-01;1.771431e-02
'training-07';0.060000;-5.327492e+00;-1.007508e+01;-3.134287e+00;7.075023e+00;-8.521588e-01;-2.797276e+00;-8.075012e+00;-1.630623e+01;-1.821124e+01;-7.292250e+00;7.398053e-01;-4.252393e+00;6.043171e+01;-1.213923e-01;1.254193e+00;3.002258e+00;4.594063e+00;2.502205e+00;4.107694e+00;3.209183e+00;-1.758185e-01;1.389672e+00;-8.265191e-01;-1.978308e+00;1.388698e+00;-1.117779e-01;1.118771e-01;1.307647e-02;-8.378700e-02;-1.684913e-01;-6.475863e-01;-2.785873e-01;3.070123e-01;1.333898e+00;1.172120e+00;2.056472e-01;-1.394717e+00;3.369170e-02;1.590559e-01
'training-07';0.070000;-4.608218e+00;-5.086192e+00;7.395456e+00;1.400999e+01;-1.214853e+00;3.944833e+00;-3.152168e+00;-1.658460e+01;-1.869534e+01;-1.489112e+01;-5.791945e+00;-6.030399e+00;6.158064e+01;9.838993e-01;1.055364e+00;2.335754e+00;3.305947e+00;-1.888041e-01;1.390411e+00;9.712361e-01;1.525584e+00;2.810602e-02;-3.019901e+00;-2.564309e+00;1.918084e-01;4.210762e-01;-1.057103e-01;-6.967081e-01;-1.659888e+00;-1.808342e+00;-1.382103e+00;-1.390138e+00;-5.516968e-01;1.092195e+00;1.040194e+00;9.783838e-01;1.206229e-02;-3.281749e-01;1.335855e-01
'training-07';0.080000;-3.395272e+00;-8.557092e+00;2.108644e+00;2.000782e+01;-1.668741e+00;1.062873e+01;-2.543069e+00;-1.107013e+01;-2.181887e+00;5.052384e-01;-1.545114e+01;8.896623e-01;6.160389e+01;-1.474496e-01;-1.435436e-01;2.104290e-01;-1.365560e+00;-1.579298e+00;-5.684437e-01;7.761739e-01;3.378719e+00;3.788939e+00;4.527658e-01;-5.633013e-01;8.210470e-01;1.819412e-01;-3.177249e-01;-5.208752e-01;-1.668933e+00;-2.390060e+00;-7.027501e-01;-1.393650e+00;-3.847914e-01;2.318167e-01;-2.609290e-01;2.845874e-01;1.507701e+00;-5.438436e-01;-1.844990e-02
'training-07';0.090000;1.778639e-01;-7.829539e+00;2.616590e+00;1.452500e+01;-3.383107e+00;1.214576e+00;-8.328740e+00;-6.082779e+00;-1.231271e+01;-1.189444e+01;-7.882031e+00;6.420089e-02;6.244171e+01;-6.585118e-01;-1.268500e+00;-3.697557e+00;-3.781192e+00;-1.482036e+00;-1.642191e+00;9.701187e-01;2.501734e+00;2.236727e+00;1.810921e+00;1.928802e+00;-1.072516e+00;1.461750e-01;-5.777637e-01;-5.506126e-01;-1.080215e+00;-1.203799e+00;3.340889e-01;6.752575e-02;6.967563e-01;-6.001934e-01;1.583343e-02;9.933681e-01;1.291093e+00;1.852691e-03;-1.897161e-01
